"president","date","approve","disapprove"
"Trump",2017-01-21,46,37
"Trump",2017-01-21,45,45
"Trump",2017-01-22,45,46
"Trump",2017-01-22,42.1,45.2
"Trump",2017-01-23,57,43
"Trump",2017-01-23,42.3,45.8
"Trump",2017-01-22,36,44
"Trump",2017-01-23,46,45
"Trump",2017-01-24,42.6,46.4
"Trump",2017-01-24,41,35
"Trump",2017-01-24,59,41
"Trump",2017-01-24,46,45
"Trump",2017-01-23,44,44
"Trump",2017-01-25,55,45
"Trump",2017-01-25,45,48
"Trump",2017-01-25,44.5,45.5
"Trump",2017-01-26,45.4,46
"Trump",2017-01-26,42,50
"Trump",2017-01-27,49,41
"Trump",2017-01-27,42,51
"Trump",2017-01-27,53,47
"Trump",2017-01-27,48.2,45.1
"Trump",2017-01-28,43,50
"Trump",2017-01-28,51,49
"Trump",2017-01-28,46.8,45.8
"Trump",2017-01-28,48,50
"Trump",2017-01-29,45.3,46.9
"Trump",2017-01-29,43,51
"Trump",2017-01-30,42,48
"Trump",2017-01-30,43,52
"Trump",2017-01-30,53,47
"Trump",2017-01-30,45,47.9
"Trump",2017-01-30,43,44
"Trump",2017-01-30,47,49
"Trump",2017-01-31,45.3,47.4
"Trump",2017-01-31,43,52
"Trump",2017-01-31,53,47
"Trump",2017-02-01,44,53
"Trump",2017-02-01,54,46
"Trump",2017-02-01,44.9,47.7
"Trump",2017-02-01,43,52
"Trump",2017-02-02,46,52
"Trump",2017-02-01,40,48
"Trump",2017-02-02,44,50
"Trump",2017-02-02,45.2,47.7
"Trump",2017-02-03,48,43
"Trump",2017-02-03,47.5,46.8
"Trump",2017-02-03,47,43
"Trump",2017-02-03,53,47
"Trump",2017-02-03,42,53
"Trump",2017-02-04,48,48
"Trump",2017-02-04,53,47
"Trump",2017-02-04,42,52
"Trump",2017-02-04,47.1,47.5
"Trump",2017-02-04,42,51
"Trump",2017-02-05,42,54
"Trump",2017-02-05,47.5,47.6
"Trump",2017-02-06,43,52
"Trump",2017-02-06,53,47
"Trump",2017-02-06,47.5,47.6
"Trump",2017-02-05,48.1,47.2
"Trump",2017-02-06,41,48
"Trump",2017-02-07,43,52
"Trump",2017-02-07,53,47
"Trump",2017-02-07,47.8,46.4
"Trump",2017-02-08,42,52
"Trump",2017-02-07,43,53
"Trump",2017-02-08,46.7,47.6
"Trump",2017-02-08,52,48
"Trump",2017-02-09,46,53
"Trump",2017-02-09,46.7,47.5
"Trump",2017-02-09,41,53
"Trump",2017-02-10,46.3,48.4
"Trump",2017-02-10,52,48
"Trump",2017-02-09,49,45
"Trump",2017-02-09,39,56
"Trump",2017-02-10,40,55
"Trump",2017-02-11,52,48
"Trump",2017-02-11,40,54
"Trump",2017-02-11,46.3,48.5
"Trump",2017-02-12,48,47
"Trump",2017-02-12,40,54
"Trump",2017-02-12,48,52
"Trump",2017-02-12,45.3,50.6
"Trump",2017-02-13,53,47
"Trump",2017-02-13,40,53
"Trump",2017-02-13,45.8,50.4
"Trump",2017-02-13,43,47
"Trump",2017-02-14,45.9,50.2
"Trump",2017-02-14,55,45
"Trump",2017-02-14,40,54
"Trump",2017-02-15,38,56
"Trump",2017-02-15,45.1,51.1
"Trump",2017-02-15,55,45
"Trump",2017-02-15,45,53
"Trump",2017-02-16,40,55
"Trump",2017-02-16,43,54
"Trump",2017-02-16,44.3,52.1
"Trump",2017-02-16,41,52
"Trump",2017-02-17,45.3,50.5
"Trump",2017-02-17,39,50
"Trump",2017-02-17,51,49
"Trump",2017-02-17,41,55
"Trump",2017-02-18,42,53
"Trump",2017-02-17,51,44
"Trump",2017-02-17,41,47
"Trump",2017-02-18,49,44
"Trump",2017-02-18,50,50
"Trump",2017-02-18,45.5,49.9
"Trump",2017-02-19,45.1,50
"Trump",2017-02-19,39,51
"Trump",2017-02-19,41,53
"Trump",2017-02-18,38,55
"Trump",2017-02-19,43,51
"Trump",2017-02-20,46,47.1
"Trump",2017-02-20,51,49
"Trump",2017-02-20,44,54
"Trump",2017-02-20,42,52
"Trump",2017-02-20,43,46
"Trump",2017-02-20,44,48
"Trump",2017-02-21,43,52
"Trump",2017-02-21,52,47
"Trump",2017-02-21,45.8,47.3
"Trump",2017-02-22,53,47
"Trump",2017-02-22,43,52
"Trump",2017-02-22,45.1,48
"Trump",2017-02-21,45,48
"Trump",2017-02-23,45.1,47.9
"Trump",2017-02-23,41,53
"Trump",2017-02-24,45.6,48.2
"Trump",2017-02-24,51,49
"Trump",2017-02-24,41,54
"Trump",2017-02-25,50,45
"Trump",2017-02-25,42,54
"Trump",2017-02-25,46.1,48.3
"Trump",2017-02-25,50,50
"Trump",2017-02-26,42,54
"Trump",2017-02-26,46.1,48.4
"Trump",2017-02-27,41,50
"Trump",2017-02-27,45,53
"Trump",2017-02-27,45.7,49.2
"Trump",2017-02-27,43,52
"Trump",2017-02-27,50,50
"Trump",2017-02-28,45.8,48.8
"Trump",2017-02-28,43,51
"Trump",2017-02-28,41,53
"Trump",2017-02-28,52,48
"Trump",2017-03-01,43,51
"Trump",2017-03-01,45.6,48.7
"Trump",2017-03-01,53,47
"Trump",2017-03-02,45.4,48.2
"Trump",2017-03-02,43,51
"Trump",2017-03-03,46.8,46.7
"Trump",2017-03-03,45,52
"Trump",2017-03-03,46.9,44
"Trump",2017-03-03,48,51
"Trump",2017-03-03,52,48
"Trump",2017-03-03,43,50
"Trump",2017-03-04,41,52
"Trump",2017-03-04,43,46
"Trump",2017-03-04,44,50
"Trump",2017-03-04,47.6,46
"Trump",2017-03-04,51,49
"Trump",2017-03-04,50,45
"Trump",2017-03-05,45,46
"Trump",2017-03-05,43,51
"Trump",2017-03-05,47.6,46
"Trump",2017-03-06,47,52
"Trump",2017-03-06,42,53
"Trump",2017-03-06,49,51
"Trump",2017-03-06,43,55
"Trump",2017-03-06,48.3,45.6
"Trump",2017-03-07,49,45.3
"Trump",2017-03-07,49,51
"Trump",2017-03-07,41,53
"Trump",2017-03-06,42,49
"Trump",2017-03-07,44,51
"Trump",2017-03-08,48.7,46.2
"Trump",2017-03-08,48,52
"Trump",2017-03-08,42,52
"Trump",2017-03-09,47.9,46.9
"Trump",2017-03-09,36,58
"Trump",2017-03-09,44,49
"Trump",2017-03-10,45,49
"Trump",2017-03-10,47.1,47.8
"Trump",2017-03-10,47,53
"Trump",2017-03-11,46.9,48.3
"Trump",2017-03-11,43,50
"Trump",2017-03-11,46,53
"Trump",2017-03-11,42,51
"Trump",2017-03-11,52,43
"Trump",2017-03-12,45.3,48.9
"Trump",2017-03-12,39,55
"Trump",2017-03-13,45,54
"Trump",2017-03-13,40,54
"Trump",2017-03-13,46,53
"Trump",2017-03-13,44.5,48.7
"Trump",2017-03-13,43,51
"Trump",2017-03-14,42,53
"Trump",2017-03-14,44.2,49
"Trump",2017-03-14,47,53
"Trump",2017-03-13,41,49
"Trump",2017-03-15,41,54
"Trump",2017-03-15,44.4,48.8
"Trump",2017-03-15,49,51
"Trump",2017-03-15,42,58
"Trump",2017-03-15,48,52
"Trump",2017-03-16,40,55
"Trump",2017-03-16,42.4,50.4
"Trump",2017-03-17,44.8,49.2
"Trump",2017-03-17,49,51
"Trump",2017-03-17,37,58
"Trump",2017-03-18,50,50
"Trump",2017-03-18,50,44
"Trump",2017-03-18,39,55
"Trump",2017-03-18,49,48
"Trump",2017-03-18,45.7,48
"Trump",2017-03-19,46.3,47.7
"Trump",2017-03-19,39,56
"Trump",2017-03-18,37,56
"Trump",2017-03-19,41,54
"Trump",2017-03-20,46,54
"Trump",2017-03-20,41,46
"Trump",2017-03-20,45.9,48.2
"Trump",2017-03-20,40,55
"Trump",2017-03-20,42,55
"Trump",2017-03-21,48,46.5
"Trump",2017-03-21,47,53
"Trump",2017-03-21,39,56
"Trump",2017-03-22,37,62
"Trump",2017-03-22,41,54
"Trump",2017-03-22,44,56
"Trump",2017-03-22,46.2,48.1
"Trump",2017-03-23,46,48.9
"Trump",2017-03-23,41,54
"Trump",2017-03-24,45,54
"Trump",2017-03-24,40,54
"Trump",2017-03-24,44.2,49.8
"Trump",2017-03-24,37,51
"Trump",2017-03-24,45,50
"Trump",2017-03-25,39,47
"Trump",2017-03-25,44.5,48.9
"Trump",2017-03-25,45,55
"Trump",2017-03-25,42,58
"Trump",2017-03-25,36,57
"Trump",2017-03-26,36,56
"Trump",2017-03-26,43.4,49.2
"Trump",2017-03-27,44,56
"Trump",2017-03-27,34,56
"Trump",2017-03-27,41,47
"Trump",2017-03-27,44,56
"Trump",2017-03-27,40,52
"Trump",2017-03-27,45,47.1
"Trump",2017-03-27,35,59
"Trump",2017-03-28,38,57
"Trump",2017-03-28,33,66
"Trump",2017-03-28,40,53
"Trump",2017-03-28,45.5,46.5
"Trump",2017-03-28,44,56
"Trump",2017-03-27,40,53
"Trump",2017-03-29,38,56
"Trump",2017-03-29,47.2,45.9
"Trump",2017-03-29,43,57
"Trump",2017-03-30,40,56
"Trump",2017-03-30,47.3,46.4
"Trump",2017-03-31,47,49
"Trump",2017-03-31,38,57
"Trump",2017-03-31,41,55
"Trump",2017-03-31,42,58
"Trump",2017-03-31,47.4,47.3
"Trump",2017-04-01,43,57
"Trump",2017-04-01,46.2,49.5
"Trump",2017-04-01,38,57
"Trump",2017-04-01,35,57
"Trump",2017-04-02,39,55
"Trump",2017-04-02,45.5,50.7
"Trump",2017-04-03,42,52
"Trump",2017-04-03,40,48
"Trump",2017-04-03,42,56
"Trump",2017-04-03,45,51.1
"Trump",2017-04-03,46,54
"Trump",2017-04-04,44.3,51.6
"Trump",2017-04-04,35,65
"Trump",2017-04-04,41,53
"Trump",2017-04-04,46,54
"Trump",2017-04-05,39,48
"Trump",2017-04-05,40,54
"Trump",2017-04-05,44.2,50.3
"Trump",2017-04-05,45,55
"Trump",2017-04-06,45.4,49.1
"Trump",2017-04-06,40,54
"Trump",2017-04-07,46.5,47.8
"Trump",2017-04-07,40,54
"Trump",2017-04-07,44,56
"Trump",2017-04-08,43,49
"Trump",2017-04-08,39,54
"Trump",2017-04-08,47,53
"Trump",2017-04-08,40,53
"Trump",2017-04-08,48,47
"Trump",2017-04-08,48,46.3
"Trump",2017-04-09,48.5,46.6
"Trump",2017-04-09,40,54
"Trump",2017-04-10,41,52
"Trump",2017-04-10,47,53
"Trump",2017-04-10,47.5,47.3
"Trump",2017-04-10,44,53
"Trump",2017-04-11,48,52
"Trump",2017-04-11,47,48
"Trump",2017-04-11,39,61
"Trump",2017-04-11,40,54
"Trump",2017-04-10,40,50
"Trump",2017-04-11,35,64
"Trump",2017-04-12,45.9,49.6
"Trump",2017-04-12,48,52
"Trump",2017-04-11,39,48
"Trump",2017-04-12,40,55
"Trump",2017-04-13,39,55
"Trump",2017-04-13,44.7,50.7
"Trump",2017-04-14,50,50
"Trump",2017-04-14,48,45
"Trump",2017-04-14,44.4,50.2
"Trump",2017-04-14,41,53
"Trump",2017-04-15,43.2,52.5
"Trump",2017-04-15,50,50
"Trump",2017-04-15,40,56
"Trump",2017-04-16,48,52
"Trump",2017-04-16,41,52
"Trump",2017-04-16,42.4,53
"Trump",2017-04-17,42,53.1
"Trump",2017-04-17,45,53.5
"Trump",2017-04-17,42,52
"Trump",2017-04-17,41,49
"Trump",2017-04-17,48,52
"Trump",2017-04-17,43,50
"Trump",2017-04-18,43,50
"Trump",2017-04-17,34,65
"Trump",2017-04-18,49,51
"Trump",2017-04-18,41.6,53.3
"Trump",2017-04-19,39.8,54.8
"Trump",2017-04-18,39,47
"Trump",2017-04-19,42,53
"Trump",2017-04-19,49,51
"Trump",2017-04-19,40,54
"Trump",2017-04-19,43,51
"Trump",2017-04-19,39,56
"Trump",2017-04-20,40.1,53.6
"Trump",2017-04-20,42,52
"Trump",2017-04-20,45,50
"Trump",2017-04-19,42,49
"Trump",2017-04-21,40,54
"Trump",2017-04-21,40,53.5
"Trump",2017-04-21,51,49
"Trump",2017-04-22,47,53
"Trump",2017-04-22,39.7,53.9
"Trump",2017-04-22,49,46
"Trump",2017-04-22,40,54
"Trump",2017-04-22,51,45
"Trump",2017-04-23,41,53
"Trump",2017-04-23,40.5,52.9
"Trump",2017-04-23,40,55
"Trump",2017-04-24,44,54
"Trump",2017-04-24,46,54
"Trump",2017-04-24,46,52
"Trump",2017-04-24,41.7,52.5
"Trump",2017-04-24,39,56
"Trump",2017-04-24,45,48
"Trump",2017-04-24,42,49
"Trump",2017-04-25,45,55
"Trump",2017-04-25,41.5,53.2
"Trump",2017-04-25,40,55
"Trump",2017-04-26,41.9,52.2
"Trump",2017-04-26,43,52
"Trump",2017-04-26,32,68
"Trump",2017-04-26,47,53
"Trump",2017-04-27,43,51
"Trump",2017-04-27,42.6,51.6
"Trump",2017-04-28,42,53
"Trump",2017-04-28,43,51.7
"Trump",2017-04-28,47,53
"Trump",2017-04-29,48,52
"Trump",2017-04-28,44,50
"Trump",2017-04-29,48,45
"Trump",2017-04-29,41,55
"Trump",2017-04-29,43.6,50.9
"Trump",2017-04-30,42,54
"Trump",2017-04-30,43.4,51.6
"Trump",2017-05-01,43.4,51.6
"Trump",2017-05-01,49,51
"Trump",2017-05-01,42,52
"Trump",2017-05-01,39,54
"Trump",2017-05-01,45,52
"Trump",2017-05-01,43,47
"Trump",2017-05-02,43.2,51.7
"Trump",2017-05-02,48,52
"Trump",2017-05-03,46,54
"Trump",2017-05-03,42,52
"Trump",2017-05-03,43.6,51.2
"Trump",2017-05-04,42.3,51.9
"Trump",2017-05-04,40,54
"Trump",2017-05-04,40,54
"Trump",2017-05-05,40,54
"Trump",2017-05-05,42.9,50.9
"Trump",2017-05-05,44,48
"Trump",2017-05-05,45,54
"Trump",2017-05-06,46,54
"Trump",2017-05-06,42,53
"Trump",2017-05-06,42.8,51.6
"Trump",2017-05-06,36,58
"Trump",2017-05-07,40,53
"Trump",2017-05-07,42.5,51.9
"Trump",2017-05-08,41,53.4
"Trump",2017-05-08,40,53
"Trump",2017-05-08,41,51
"Trump",2017-05-08,47,53
"Trump",2017-05-08,43,55
"Trump",2017-05-09,42,52.9
"Trump",2017-05-09,38,55
"Trump",2017-05-09,48,52
"Trump",2017-05-10,45,55
"Trump",2017-05-10,45,47
"Trump",2017-05-10,41,54
"Trump",2017-05-10,41.1,53.7
"Trump",2017-05-11,40,55
"Trump",2017-05-11,40.9,53.7
"Trump",2017-05-12,39,54
"Trump",2017-05-11,48,45
"Trump",2017-05-12,39,56
"Trump",2017-05-12,40.9,53.5
"Trump",2017-05-12,44,56
"Trump",2017-05-13,43,51
"Trump",2017-05-13,39.6,54.6
"Trump",2017-05-13,40,54
"Trump",2017-05-13,43,57
"Trump",2017-05-13,38,57
"Trump",2017-05-14,38,57
"Trump",2017-05-14,38.8,55.5
"Trump",2017-05-15,39,53
"Trump",2017-05-15,44,56
"Trump",2017-05-15,40,58
"Trump",2017-05-15,39,51
"Trump",2017-05-15,38.7,55.5
"Trump",2017-05-15,38,57
"Trump",2017-05-16,38,56
"Trump",2017-05-16,44,55
"Trump",2017-05-16,38,56.2
"Trump",2017-05-17,38,56
"Trump",2017-05-17,37,57.4
"Trump",2017-05-17,29,71
"Trump",2017-05-17,44,56
"Trump",2017-05-17,41,52
"Trump",2017-05-18,37,56
"Trump",2017-05-18,37.1,56.8
"Trump",2017-05-19,44,56
"Trump",2017-05-19,39,56
"Trump",2017-05-19,37.1,57.1
"Trump",2017-05-19,38,56
"Trump",2017-05-19,37,58
"Trump",2017-05-19,45,55
"Trump",2017-05-20,36.6,57.3
"Trump",2017-05-20,37,56
"Trump",2017-05-20,46,54
"Trump",2017-05-20,37,55
"Trump",2017-05-20,46,50
"Trump",2017-05-21,38,56
"Trump",2017-05-21,37.3,56.9
"Trump",2017-05-20,40,54
"Trump",2017-05-22,40,53
"Trump",2017-05-22,48,52
"Trump",2017-05-22,37.9,56.1
"Trump",2017-05-22,42,56
"Trump",2017-05-22,39,51
"Trump",2017-05-22,39,55
"Trump",2017-05-23,48,52
"Trump",2017-05-23,39,55
"Trump",2017-05-23,38.4,56.4
"Trump",2017-05-24,46,54
"Trump",2017-05-24,41,54
"Trump",2017-05-24,29.1,70.2
"Trump",2017-05-24,37.9,56.6
"Trump",2017-05-25,38.8,55.8
"Trump",2017-05-25,41,54
"Trump",2017-05-26,42,53
"Trump",2017-05-26,45,55
"Trump",2017-05-26,39.5,54.9
"Trump",2017-05-27,44,56
"Trump",2017-05-27,42,53
"Trump",2017-05-27,39.9,55.2
"Trump",2017-05-28,41,54
"Trump",2017-05-28,39.9,54.9
"Trump",2017-05-27,45,51
"Trump",2017-05-29,41,57
"Trump",2017-05-29,43,57
"Trump",2017-05-29,38,51
"Trump",2017-05-29,41,53
"Trump",2017-05-29,41.2,54
"Trump",2017-05-30,39.9,55.4
"Trump",2017-05-30,43,57
"Trump",2017-05-30,47,51
"Trump",2017-05-30,40,54
"Trump",2017-05-31,38.4,57.6
"Trump",2017-05-30,44,50
"Trump",2017-05-31,44,56
"Trump",2017-05-31,39,55
"Trump",2017-06-01,39,57.1
"Trump",2017-06-01,37,57
"Trump",2017-06-02,46,54
"Trump",2017-06-01,44,52
"Trump",2017-06-02,36,58
"Trump",2017-06-02,38.7,57.5
"Trump",2017-06-03,37.6,58.4
"Trump",2017-06-03,46,54
"Trump",2017-06-03,34,57
"Trump",2017-06-02,41,53
"Trump",2017-06-03,37,55
"Trump",2017-06-03,37,57
"Trump",2017-06-04,38,57
"Trump",2017-06-04,37.7,58.1
"Trump",2017-06-05,37.9,57.1
"Trump",2017-06-05,45,55
"Trump",2017-06-05,41,57
"Trump",2017-06-05,38,54
"Trump",2017-06-05,38,57
"Trump",2017-06-06,46,54
"Trump",2017-06-06,37,58
"Trump",2017-06-06,36.9,57.9
"Trump",2017-06-07,36.6,57.5
"Trump",2017-06-07,46,54
"Trump",2017-06-07,37,58
"Trump",2017-06-08,39,56
"Trump",2017-06-08,37.1,57.5
"Trump",2017-06-09,46,54
"Trump",2017-06-09,37.5,57.1
"Trump",2017-06-09,38,58
"Trump",2017-06-10,35,64
"Trump",2017-06-10,36,59
"Trump",2017-06-10,43,57
"Trump",2017-06-10,44,50
"Trump",2017-06-10,40.3,55.6
"Trump",2017-06-10,41,52
"Trump",2017-06-11,37,51
"Trump",2017-06-11,36,60
"Trump",2017-06-11,40.4,55.7
"Trump",2017-06-11,41,55
"Trump",2017-06-12,45,55
"Trump",2017-06-12,40.2,56.4
"Trump",2017-06-12,36,59
"Trump",2017-06-12,43,55
"Trump",2017-06-12,39,52
"Trump",2017-06-13,38.8,57.3
"Trump",2017-06-13,47,53
"Trump",2017-06-13,39,55
"Trump",2017-06-13,38,57
"Trump",2017-06-14,38,57
"Trump",2017-06-14,38.8,57.4
"Trump",2017-06-14,50,50
"Trump",2017-06-15,39,55
"Trump",2017-06-15,35.8,60.4
"Trump",2017-06-16,39,55
"Trump",2017-06-16,42,54
"Trump",2017-06-16,48,51
"Trump",2017-06-16,36.7,59.8
"Trump",2017-06-17,36.7,59.5
"Trump",2017-06-17,47,53
"Trump",2017-06-17,36,57
"Trump",2017-06-17,23.9,75.9
"Trump",2017-06-17,43,51
"Trump",2017-06-16,40,56
"Trump",2017-06-17,38,56
"Trump",2017-06-18,37,57
"Trump",2017-06-18,37.6,58.6
"Trump",2017-06-19,40,49
"Trump",2017-06-19,43,54
"Trump",2017-06-19,40,55
"Trump",2017-06-19,37,59
"Trump",2017-06-19,45,55
"Trump",2017-06-19,37,58
"Trump",2017-06-19,39.2,57
"Trump",2017-06-20,38.7,56.2
"Trump",2017-06-20,48,52
"Trump",2017-06-20,46,54
"Trump",2017-06-20,39,56
"Trump",2017-06-21,46,54
"Trump",2017-06-21,42,54
"Trump",2017-06-21,37,56.7
"Trump",2017-06-20,44,50
"Trump",2017-06-22,35.9,57.2
"Trump",2017-06-21,46,49
"Trump",2017-06-22,39,55
"Trump",2017-06-23,38,57
"Trump",2017-06-23,37,51
"Trump",2017-06-23,35.9,56.9
"Trump",2017-06-23,45,51
"Trump",2017-06-23,47,53
"Trump",2017-06-24,31,69
"Trump",2017-06-24,46,54
"Trump",2017-06-24,34.4,58.2
"Trump",2017-06-24,36,58
"Trump",2017-06-24,40,55
"Trump",2017-06-25,39,57
"Trump",2017-06-25,35.4,58.1
"Trump",2017-06-26,39,51
"Trump",2017-06-26,46,54
"Trump",2017-06-26,36.2,57.6
"Trump",2017-06-26,39,56
"Trump",2017-06-26,41,56
"Trump",2017-06-26,44,50
"Trump",2017-06-26,41.9,52.6
"Trump",2017-06-26,37,58
"Trump",2017-06-27,40,56
"Trump",2017-06-27,45,55
"Trump",2017-06-27,36.6,56.6
"Trump",2017-06-28,37.6,56.2
"Trump",2017-06-28,38,57
"Trump",2017-06-28,46,54
"Trump",2017-06-29,38,57
"Trump",2017-06-29,38.7,54.7
"Trump",2017-06-30,38.1,54.9
"Trump",2017-06-30,37,57
"Trump",2017-06-30,44,56
"Trump",2017-07-01,44,56
"Trump",2017-07-01,39,56
"Trump",2017-07-01,30,69
"Trump",2017-07-01,38.3,54.8
"Trump",2017-07-02,37,57
"Trump",2017-07-02,37.8,56.8
"Trump",2017-07-03,38.1,57.1
"Trump",2017-07-03,43,55
"Trump",2017-07-04,44,56
"Trump",2017-07-03,38,52
"Trump",2017-07-04,38,57.8
"Trump",2017-07-04,37,57
"Trump",2017-07-05,45,55
"Trump",2017-07-05,37,57
