"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1890,100,1890,51.36233983,63.056,3.42,Homer,1890,3.557296446,Grebler,1890,,Grebler,1890,7.611651901,Warren&Pearson,,1890,7.611651901
1891,88.01179106,1891,47.26616291,64.361,3.62,Homer,1891,3.209110824,Grebler,1891,,Grebler,1891,7.801941983,Warren&Pearson,,1891,7.801941983
1892,95.42173618,1892,52.04815502,65.666,3.6,Homer,1892,3.267141761,Grebler,1892,,Grebler,1892,7.326212727,Warren&Pearson,,1892,7.326212727
1893,92.29738548,1893,44.67333155,66.97,3.75,Homer,1893,3.40641601,Grebler,1893,,Grebler,1893,7.897091074,Warren&Pearson,,1893,7.897091074
1894,123.9804828,1894,57.2634338,68.275,3.7,Homer,1894,3.9693161,Grebler,1894,,Grebler,1894,6.850483471,Warren&Pearson,,1894,6.850483471
1895,117.4550916,1895,61.47033843,69.58,3.46,Homer,1895,3.603721196,Grebler,1895,,Grebler,1895,6.565052397,Warren&Pearson,,1895,6.565052397
1896,100.3029902,1896,60.06894543,70.885,3.6,Homer,1896,3.122064418,Grebler,1896,,Grebler,1896,6.660193388,Warren&Pearson,,1896,6.660193388
1897,106.5157028,1897,62.38489276,72.189,3.4,Homer,1897,3.220717011,Grebler,1897,,Grebler,1897,6.469903306,Warren&Pearson,,1897,6.469903306
1898,110.1841398,1898,61.4380382,73.494,3.35,Homer,1898,3.429628385,Grebler,1898,,Grebler,1898,6.660193388,Warren&Pearson,,1898,6.660193388
1899,103.8531133,1899,64.0446058,74.799,3.1,Homer,1899,3.278747948,Grebler,1899,,Grebler,1899,6.755342479,Warren&Pearson,,1899,6.755342479
1900,101.5742948,1900,49.42063381,76.094,3.15,Homer,1900,3.748798539,Grebler,1900,,Grebler,1900,7.897091074,Warren&Pearson,,1900,7.897091074
1901,87.3260955,1901,51.25232444,77.584,3.1,Homer,1901,3.145276793,Grebler,1901,,Grebler,1901,7.706792893,Warren&Pearson,,1901,7.706792893
1902,100.4736445,1902,50.5161651,79.163,3.18,Homer,1902,3.708176883,Grebler,1902,,Grebler,1902,7.897091074,Warren&Pearson,,1902,7.897091074
1903,93.07489238,1903,43.54354964,80.632,3.3,Homer,1903,3.76620782,Grebler,1903,,Grebler,1903,8.658259504,Warren&Pearson,,1903,8.658259504
1904,101.854359,1904,47.08562106,82.166,3.4,Homer,1904,3.940300632,Grebler,1904,,Grebler,1904,8.277679339,Warren&Pearson,,1904,8.277679339
1905,87.24854753,1905,47.11098375,83.822,3.48,Homer,1905,3.45284076,Grebler,1905,,Grebler,1905,8.467928926,Warren&Pearson,,1905,8.467928926
1906,103.5251673,1906,51.76914843,85.45,3.43,Homer,1906,4.096984162,Grebler,1906,,Grebler,1906,8.467928926,Warren&Pearson,,1906,8.467928926
1907,109.3165207,1907,49.54470738,87.008,3.67,Homer,1907,4.520610003,Grebler,1907,,Grebler,1907,8.848509091,Warren&Pearson,,1907,8.848509091
1908,100.8191824,1908,50.12571412,88.71,3.87,Homer,1908,4.079574881,Grebler,1908,,Grebler,1908,8.658259504,Warren&Pearson,,1908,8.658259504
1909,95.38041379,1909,44.07166612,90.49,3.76,Homer,1909,3.986725381,Grebler,1909,,Grebler,1909,8.94367438,Warren&Pearson,,1909,8.94367438
1910,93.11063671,1910,37.98176672,92.407,3.91,Homer,1910,4.305895536,Grebler,1910,,Grebler,1910,9.895165289,Warren&Pearson,,1910,9.895165289
1911,97.54333604,1911,42.29755769,93.863,3.98,Homer,1911,4.207242942,Grebler,1911,,Grebler,1911,9.229089256,Warren&Pearson,,1911,9.229089256
1912,102.3651618,1912,42.25410832,95.335,4.01,Homer,1912,4.369729566,Grebler,1912,,Grebler,1912,9.134004959,Warren&Pearson,,1912,9.134004959
1913,95.4085608,1913,40.33646954,97.225,4.45,Homer,1913,4.369729566,Grebler,1913,,Grebler,1913,9.8,BLS,,1913,9.8
1914,96.9771637,1914,34.47783935,99.111,4.16,Homer,1914,4.53221619,Grebler,1914,,Grebler,1914,10,BLS,,1914,10
1915,88.1487638,1915,35.31752296,100.546,4.24,Homer,1915,4.160818193,Grebler,1915,,ENR,1915,10.1,BLS,,1915,10.1
1916,93.72485165,1916,47.29616865,101.961,4.05,Homer,1916,4.555428565,Grebler,1916,,ENR,1916,10.4,BLS,,1916,10.4
1917,85.00903742,1917,53.59430137,103.268,4.23,Homer,1917,4.648278065,Grebler,1917,,ENR,1917,11.7,BLS,,1917,11.7
1918,75.56662106,1918,42.64391738,103.208,4.57,Homer,1918,4.944235844,Grebler,1918,,ENR,1918,14,BLS,,1918,14
1919,70.51379536,1919,36.18271778,104.514,4.5,Homer,1919,5.43749881,Grebler,1919,,ENR,1919,16.5,BLS,,1919,16.5
1920,66.07414907,1920,40.27179997,106.541,4.97,Homer,1920,5.959777244,Grebler,1920,,ENR,1920,19.3,BLS,,1920,19.3
1921,65.61430848,1921,32.80518504,108.538,5.09,Homer,1921,5.826306089,Grebler,1921,,ENR,1921,19,BLS,,1921,19
1922,74.79619714,1922,34.43760958,110.049,4.3,Homer,1922,5.907549401,Grebler,1922,,ENR,1922,16.9,BLS,,1922,16.9
1923,76.35007782,1923,41.57111443,111.947,4.36,Homer,1923,5.994595806,Grebler,1923,,ENR,1923,16.8,BLS,,1923,16.8
1924,74.28697788,1924,40.36963713,114.109,4.06,Homer,1924,6.006201994,Grebler,1924,,ENR,1924,17.3,BLS,,1924,17.3
1925,78.16282021,1925,39.71851395,115.829,3.86,Homer,1925,6.319569054,Grebler,1925,,ENR,1925,17.3,BLS,,1925,17.3
