president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Trump,All polls,2/7/2019,1/20/2017,1/22/2017,Morning Consult,B-,1992,rv,0.9442063,0,46,37,43.51568,39.30637,,,http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/20/2017,1/22/2017,Gallup,B,1500,a,0.2454292,0,45,45,46.20724,43.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/21/2017,1/23/2017,Gallup,B,1500,a,0.226788,0,45,46,46.20724,44.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/20/2017,1/24/2017,Ipsos,B+,1632,a,0.224456,0,42.1,45.2,42.4814,44.08612,,T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2203903,0,57,43,51.57531,43.81064,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/21/2017,1/25/2017,Ipsos,B+,1651,a,0.2099484,0,42.3,45.8,42.6814,44.68612,,T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/20/2017,1/25/2017,Quinnipiac University,A-,1190,rv,1.644662,0,36,44,37.66755,42.64217,,,https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/22/2017,1/24/2017,Gallup,B,1500,a,0.2120474,0,46,45,47.20724,43.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/22/2017,1/26/2017,Ipsos,B+,1678,a,0.1992776,0,42.6,46.4,42.9814,45.28613,,T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/23/2017,1/25/2017,YouGov,B,2692,a,1.577144,0,41,35,41.98623,37.33963,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.20477,0,59,41,53.57531,41.81064,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/23/2017,1/25/2017,Gallup,B,1500,a,0.2001678,0,46,45,47.20724,43.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.165807,0,44,44,43.30023,44.37395,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1918633,0,55,45,49.57531,45.81064,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/24/2017,1/26/2017,Gallup,B,1500,a,0.190472,0,45,48,46.20724,46.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/23/2017,1/27/2017,Ipsos,B+,1712,a,0.1914354,0,44.5,45.5,44.8814,44.38612,,T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/24/2017,1/28/2017,Ipsos,B+,1684,a,0.1784696,0,45.4,46,45.7814,44.88612,,T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/25/2017,1/27/2017,Gallup,B,1500,a,0.1825002,0,42,50,43.20724,48.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/26/2017,1/28/2017,Morning Consult,B-,1991,rv,0.7877128,0,49,41,46.51568,43.30637,,,https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,49241,77253,1/29/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/26/2017,1/28/2017,Gallup,B,1500,a,0.1759301,0,42,51,43.20724,49.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.103974,0,53,47,47.57531,47.81064,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/25/2017,1/29/2017,Ipsos,B+,1630,a,0.1646691,0,48.2,45.1,48.5814,43.98612,,T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/27/2017,1/29/2017,Gallup,B,1500,a,0.1705319,0,43,50,44.20724,48.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2973784,0,51,49,45.57531,49.81064,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/26/2017,1/30/2017,Ipsos,B+,2204,a,0.2132604,0,46.8,45.8,47.1814,44.68612,,T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,0.2119286,0,48,50,45.60559,48.75944,,,https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/27/2017,1/31/2017,Ipsos,B+,3153,a,0.2940032,0,45.3,46.9,45.6814,45.78613,,T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/28/2017,1/30/2017,Gallup,B,1500,a,0.1661397,0,43,51,44.20724,49.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/27/2017,2/2/2017,IBD/TIPP,A-,885,a,1.517317,0,42,48,43.95203,46.45534,,,http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,2/7/2019 17:37
Trump,All polls,2/7/2019,1/29/2017,1/31/2017,Gallup,B,1500,a,0.1626348,0,43,52,44.20724,50.07141,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,2/7/2019 17:37
